panel,scope,method,budget,tau_b,top_k_overlap,full_top_k_set_size,subset_top_k_set_size,pairwise_direction_agreement,calibrated_score_mae,repository_coverage,baseline_percentile
standardized-bash,cluster_latest,entropy,75,0.5797509043642028,0.6666666666666666,5,5,0.7,0.026690997313924308,8,0.25
standardized-bash,cluster_latest,temporal_coreset,75,0.85,1.0,5,5,0.9,0.015380021445837166,10,0.864
standardized-bash,cluster_latest,random,100,0.7318056532945043,0.8486666666666667,5.0,5.156,0.8383999999999999,0.023050352029903104,10.27,
standardized-bash,cluster_latest,repo_stratified_random,100,0.7340933425762548,0.853,5.0,5.146,0.843,0.02251967322071439,10.0,
standardized-bash,cluster_latest,entropy,100,0.8783100656536799,0.6666666666666666,5,5,0.95,0.020024196822799878,9,0.872
standardized-bash,cluster_latest,temporal_coreset,100,0.7807200583588266,1.0,5,5,0.9,0.01942127801940449,10,0.652
standardized-bash,cluster_latest,random,125,0.7581847480448424,0.854,5.0,5.148,0.8591,0.019976288254306182,10.556,
standardized-bash,cluster_latest,repo_stratified_random,125,0.7797780711371758,0.8623333333333334,5.0,5.146,0.8715,0.019423143991806828,10.0,
standardized-bash,cluster_latest,entropy,125,0.8783100656536799,0.6666666666666666,5,5,0.95,0.019028806072669484,10,0.84
standardized-bash,cluster_latest,temporal_coreset,125,0.75,1.0,5,5,0.85,0.013290061170574534,10,0.418
standardized-bash,cluster_latest,random,150,0.7813059096139133,0.8663333333333334,5.0,5.126,0.8767,0.01736872257285262,10.752,
standardized-bash,cluster_latest,repo_stratified_random,150,0.7883454750525563,0.852,5.0,5.132,0.8779,0.017966923648434566,11.0,
standardized-bash,cluster_latest,entropy,150,0.9746794344808964,1.0,5,5,0.95,0.0166715967739617,10,0.946
standardized-bash,cluster_latest,temporal_coreset,150,0.65,1.0,5,5,0.8,0.01519634602097256,11,0.138
standardized-bash,cluster_latest,random,200,0.8244483126231522,0.877,5.0,5.122,0.9032,0.014072463061911202,11.068,
standardized-bash,cluster_latest,repo_stratified_random,200,0.8256615041768998,0.8803333333333334,5.0,5.106,0.9065,0.013933662978711896,11.0,
standardized-bash,cluster_latest,entropy,200,0.9759000729485332,1.0,5,5,1.0,0.009972121184479052,10,0.982
standardized-bash,cluster_latest,temporal_coreset,200,0.5855400437691199,0.6666666666666666,5,5,0.8,0.012306944676738953,11,0.034
standardized-bash,cluster_latest,random,250,0.8414939577628442,0.8863333333333334,5.0,5.102,0.9168,0.011467536852942294,11.282,
standardized-bash,cluster_latest,repo_stratified_random,250,0.8335833534677625,0.888,5.0,5.112,0.9113,0.011634073718141754,11.0,
standardized-bash,cluster_latest,entropy,250,0.9759000729485332,1.0,5,5,1.0,0.010081584518458753,10,0.968
standardized-bash,cluster_latest,temporal_coreset,250,0.6831300510639733,0.6666666666666666,5,5,0.85,0.008630134447767295,11,0.126
standardized-bash,cluster_latest,random,300,0.8573447009643117,0.9053333333333333,5.0,5.068,0.9272,0.009191759882721723,11.48,
standardized-bash,cluster_latest,repo_stratified_random,300,0.8629348048243951,0.9026666666666666,5.0,5.108,0.9272999999999999,0.009368453148506824,12.0,
standardized-bash,cluster_latest,entropy,300,0.9759000729485332,1.0,5,5,1.0,0.00908705830940201,12,0.976
standardized-bash,cluster_latest,temporal_coreset,300,0.7807200583588266,0.6666666666666666,5,5,0.9,0.005285643110410592,12,0.308
standardized-bash,cluster_latest,random,400,0.8873265394677383,0.9513333333333334,5.0,5.072,0.9421,0.005766260398731039,11.754,
standardized-bash,cluster_latest,repo_stratified_random,400,0.8849834540537829,0.9353333333333333,5.0,5.08,0.9396,0.005844253266477929,12.0,
standardized-bash,cluster_latest,entropy,400,0.8783100656536799,1.0,5,5,0.95,0.01000000000000012,12,0.558
standardized-bash,cluster_latest,temporal_coreset,400,0.75,0.8333333333333334,5,6,0.85,0.00651597664607606,12,0.072
standardized-bash,cluster_latest,random,450,0.9053115940562614,0.9753333333333334,5.0,5.056,0.9488,0.0038451807368771566,11.888,
standardized-bash,cluster_latest,repo_stratified_random,450,0.9140648134771037,0.9816666666666666,5.0,5.038,0.9532,0.0038839319668396723,12.0,
standardized-bash,cluster_latest,entropy,450,0.8783100656536799,1.0,5,5,0.95,0.007428571428571483,12,0.418
standardized-bash,cluster_latest,temporal_coreset,450,0.85,0.8333333333333334,5,6,0.9,0.0030456605967490447,12,0.264
standardized-bash,cluster_latest,random,475,0.9232288648013417,0.9933333333333334,5.0,5.032,0.9541000000000001,0.002717427717425071,11.95,
standardized-bash,cluster_latest,repo_stratified_random,475,0.9363498359789681,0.9926666666666666,5.0,5.032,0.9601000000000001,0.002531506046329644,12.0,
standardized-bash,cluster_latest,entropy,475,0.8783100656536799,1.0,5,5,0.95,0.0020000000000000495,12,0.264
standardized-bash,cluster_latest,temporal_coreset,475,1.0,1.0,5,5,1.0,0.0016091787250173287,12,1.0
standardized-bash,cluster_latest,random,500,1.0,1.0,5.0,5.0,1.0,0.0,12.0,
standardized-bash,cluster_latest,repo_stratified_random,500,1.0,1.0,5.0,5.0,1.0,0.0,12.0,
standardized-bash,cluster_latest,entropy,500,1.0,1.0,5,5,1.0,0.0,12,1.0
standardized-bash,cluster_latest,temporal_coreset,500,1.0,1.0,5,5,1.0,0.0,12,1.0
